BUILDING ADDRESS,BUILDING ID,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),COMPLIANCE STATUS,% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,ENERGY STAR SCORE,ENERGY STAR CERTIFICATION - ELIGIBILITY,ENERGY STAR CERTIFICATION - LAST APPROVAL DATE,ENERGY STAR CERTIFICATION - YEAR(S) CERTIFIED,ENTITY RESPONSIBLE FOR BENCHMARK,GROSS BUILDING FLOOR AREA (ft²),INDOOR WATER USE (kgal),INDOOR WATER USE INTENSITY (gal/ft²),NUMBER OF BUILDINGS,OCCUPANCY,OUTDOOR WATER USE (kgal),POSTAL CODE,PROGRAM YEAR,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),WEATHER NORMALIZED SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (EUI) (kBtu/ft²),YEAR BUILT,AIN,LADBS Building Category
12502 VAN NUYS BLVD,439327923798,78.5,COMPLIED,-45.6,-45.6,Not Available,No,Not Available,Not Available,TriStar,52000,Not Available,Not Available,2,95,Not Available,91331,2020,Office,22.8,63.4,697.2,22.3,61.7,1963,011,"20,000 to 49,999 sqft"
3523 S LA BREA AVE,453799830900,71.1,COMPLIED,-38.7,-38.7,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",26540,Not Available,Not Available,1,100,Not Available,90016,2022,Multifamily Housing,46.6,72.4,1143,47.5,73.4,1950,007,"20,000 to 49,999 sqft"
8430 CEDROS AVE,424663904268,48.3,COMPLIED,-40.6,-40.6,99,Yes,Not Available,Not Available,Ungar & Associates,31110,Not Available,Not Available,1,95,Not Available,91402,2020,Multifamily Housing,23.4,65.6,1788.6,23.4,65.6,1987,045,"20,000 to 49,999 sqft"
830 N VAN NESS AVE,466125853940,,NOT COMPLIED,,,,,,,,,,,,,,90038,2022,,,,,,,,007,"20,000 to 49,999 sqft"
3675 CLARINGTON AVE,439691831717,42.5,COMPLIED,-55.3,-55.3,Not Available,No,Not Available,Not Available,Unknown,21660,Not Available,Not Available,1,100,Not Available,90034,2020,Multifamily Housing,34.6,52.8,835.6,35,53.2,1980,032,"20,000 to 49,999 sqft"
15537 NORDHOFF ST,419295908511,,NOT COMPLIED,,,,,,,,,,,,,,91343,2021,,,,,,,,016,"20,000 to 49,999 sqft"
8455 LINDLEY AVE,402168904447,80.4,COMPLIED,-32.7,-32.7,95,Yes,Not Available,Not Available,"Vert Energy Group, Inc.",37453,Not Available,Not Available,1,100,Not Available,91325,2020,Multifamily Housing,36.3,67.5,1894.1,36.9,68.2,1964,060,"20,000 to 49,999 sqft"
2161 W 25TH ST,463373722955,62,COMPLIED,-24.8,-24.8,85,No,Not Available,Not Available,"Vert Energy Group, Inc.",33012,Not Available,Not Available,1,100,Not Available,90732,2020,Multifamily Housing,32,57.3,94.3,32,57.3,1961,014,"20,000 to 49,999 sqft"
710 N EL CENTRO AVE,10353,145.4,COMPLIED,-40.4,-40.4,97,Yes,Not Available,Not Available,"Vert Energy Group, Inc.",80000,Not Available,Not Available,2,100,Not Available,90038,2020,Multifamily Housing,32.6,45.9,1162.5,33.3,46.8,2015,024,"100,000+ sqft"
7120 CASE AVE,448957895467,11.9,COMPLIED,-18.7,-18.7,61,No,Not Available,Not Available,"DELUCA,STELLA TR STELL DELUCA TRUST",20273,Not Available,Not Available,1,100,Not Available,91605,2019,Distribution Center,9.7,27.1,139.9,9.7,27.1,1970,022,"20,000 to 49,999 sqft"
4040 DEL REY AVE,426574819016,0.3,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",58684,Not Available,Not Available,1,100,Not Available,90292,2020,Manufacturing/Industrial Plant,0.1,0.2,0,0.1,0.2,1980,022,"20,000 to 49,999 sqft"
6301 YUCCA ST,462646860422,108.6,COMPLIED,-28.6,-28.6,Not Available,No,Not Available,Not Available,AMDA INC.,35000,0,0,1,60,Not Available,90028,2021,College/University,52.5,129,898,52.5,129,1928,016,"20,000 to 49,999 sqft"
350 E 2ND ST,488609839978,26.5,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Sho Tokyo Parking LLC,93704,Not Available,Not Available,1,100,Not Available,90012,2023,Parking,4,11.2,83.8,4,11.2,1980,016,"50,000 to 99,999 sqft"
2405 ROSCOMARE RD,421291865990,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Law Offices of William A. Willens, Incorp",25491,Not Available,Not Available,1,100,Not Available,90077,2022,Multifamily Housing,Not Available,Not Available,920.9,Not Available,Not Available,1955,001,"20,000 to 49,999 sqft"
2970 W OLYMPIC BLVD,470945841598,,NOT COMPLIED,,,,,,,,,,,,,,90006,2020,,,,,,,,023,"20,000 to 49,999 sqft"
920 VENICE BLVD,423886820053,83.3,COMPLIED,13.9,13.9,30,No,Not Available,Not Available,Unknown,30261,Not Available,Not Available,1,100,Not Available,90291,2019,Multifamily Housing,49,71.5,904.4,49.4,71.9,1978,002,"20,000 to 49,999 sqft"
19851 W NORDHOFF PL,112217100390,174.5,COMPLIED,12.2,12.2,43,No,Not Available,Not Available,"Vert Energy Group, Inc.",162766,Not Available,Not Available,1,100,Not Available,91311,2021,Non-Refrigerated Warehouse,17.8,48.3,3198.7,18,48.5,2009,092,"50,000 to 99,999 sqft"
13990 ASTORIA ST,429460936211,193,COMPLIED,-2.6,-2.6,54,No,Not Available,Not Available,FOOTHILL ENTERPRISES,63138,Not Available,Not Available,1,100,Not Available,91342,2022,Multifamily Housing,51,92.8,5852,51,92.8,1986,129,"50,000 to 99,999 sqft"
12729 W RIVERSIDE DR,437614880116,183.5,NOT COMPLIED,-10.8,-10.8,69,No,Not Available,Not Available,"Conservice, LLC",65990,Not Available,Not Available,1,95,Not Available,91607,2021,Multifamily Housing,46.4,79.6,2031.7,46.4,79.6,2012,019,"100,000+ sqft"
1231 LONG BEACH AVE,488522832293,,NOT COMPLIED,,,,,,,,,,,,,,90021,2021,,,,,,,,029,"20,000 to 49,999 sqft"
4443 MOORPARK WAY,453288877731,,NOT COMPLIED,,,,,,,,,,,,,,91602,2021,,,,,,,,014,"20,000 to 49,999 sqft"
413 E 7TH ST,486542837669,,NOT COMPLIED,,,,,,,,,,,,,,90014,2021,,,,,,,,007,"20,000 to 49,999 sqft"
167 S NORMANDIE AVE,470632848637,8.5,COMPLIED,-87.8,-87.8,Not Available,No,Not Available,Not Available,Cannon Management,23736,Not Available,Not Available,1,90,Not Available,90004,2020,Multifamily Housing,5.3,14.4,1870.1,Not Available,Not Available,1928,013,"20,000 to 49,999 sqft"
13961 OXNARD ST,429361888234,,NOT COMPLIED,,,,,,,,,,,,,,91401,2021,,,,,,,,030,"20,000 to 49,999 sqft"
5131 DE LONGPRE AVE,470398857829,,NOT COMPLIED,,,,,,,,,,,,,,90027,2019,,,,,,,,023,"20,000 to 49,999 sqft"
817 S WESTERN AVE,467890843439,,NOT COMPLIED,,,,,,,,,,,,,,90005,2021,,,,,,,,024,"50,000 to 99,999 sqft"
1409 VENICE BLVD,425547821377,56.2,COMPLIED,-15.8,-15.8,74,No,Not Available,Not Available,Unknown,27700,Not Available,Not Available,1,100,Not Available,90291,2020,Multifamily Housing,34.8,60.4,743.6,35,60.6,1990,023,"20,000 to 49,999 sqft"
11253 NEBRASKA AVE,426688838904,48.8,COMPLIED,-42,-42,98,No,Not Available,Not Available,"Vert Energy Group, Inc.",37362,Not Available,Not Available,1,100,Not Available,90025,2021,Multifamily Housing,23.2,41.1,1315.8,23,40.8,1990,025,"20,000 to 49,999 sqft"
11050 SANTA MONICA BLVD,427554840069,,NOT COMPLIED,,,,,,,,,,,,,,90025,2021,,,,,,,,052,"20,000 to 49,999 sqft"
11254 VANOWEN ST,447797892948,151.2,COMPLIED,13.8,13.8,34,No,Not Available,Not Available,"Vert Energy Group, Inc.",32352,Not Available,Not Available,1,100,Not Available,91605,2018,Hotel,80.5,137.1,4483.1,80.5,137.1,1963,002,"20,000 to 49,999 sqft"
1417 N BRONSON AVE,465322857556,62.2,NOT COMPLIED,-23.6,-23.6,84,Yes,Not Available,Not Available,Yardi Energy,23520,Not Available,Not Available,1,95,Not Available,90028,2020,Multifamily Housing,44.4,84.7,1.1,44.7,85,1928,012,"20,000 to 49,999 sqft"
21701 PARTHENIA ST,379723906103,50.1,COMPLIED,-56.8,-56.8,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",30800,Not Available,Not Available,1,100,Not Available,91304,2020,Multifamily Housing,27.5,51,963.5,28.5,52,1964,042,"20,000 to 49,999 sqft"
1827 VETERAN AVE,428519840080,56.2,COMPLIED,-27.4,-27.4,88,Yes,Not Available,Not Available,Unknown,29170,Not Available,Not Available,1,95,Not Available,90025,2020,Multifamily Housing,33.5,54.8,925.3,33.7,55,1966,040,"20,000 to 49,999 sqft"
21707 ROSCOE BLVD,379711903113,44.5,COMPLIED,-9.7,-9.7,65,No,Not Available,Not Available,Bristol Arnold B & Carol Bristol Trust,20260,Not Available,Not Available,1,100,Not Available,91304,2021,Multifamily Housing,36.5,99.6,1669.7,36.5,99.6,1964,017,"20,000 to 49,999 sqft"
8700 PERSHING DR,427980806270,387.9,COMPLIED,-32.0,-32.0,99.0,No,Not Available,Not Available,equity residential,183174.0,Not Available,Not Available,1.0,95.0,Not Available,90293,2017,Multifamily Housing,35.3,61.4,6646.3,36.2,62.3,2004,159,"100,000+ sqft"
7225 HOLLYWOOD BLVD,456521859735,132.7,COMPLIED,-16.4,-16.4,75,No,Not Available,Not Available,"Vert Energy Group, Inc.",60564,Not Available,Not Available,1,100,Not Available,90046,2020,Multifamily Housing,36.6,71.4,3503.1,36.6,71.4,1961,018,"50,000 to 99,999 sqft"
1625 STONER AVE,423570837725,23.8,COMPLIED,-70.1,-70.1,100,No,Not Available,Not Available,Unknown,30095,Not Available,Not Available,1,100,Not Available,90025,2019,Multifamily Housing,13.5,23.9,1226.8,13.6,24,1960,022,"20,000 to 49,999 sqft"
529 W 7TH ST,484069839757,760.1,COMPLIED,157.6,157.6,2,No,Not Available,Not Available,"Vert Energy Group, Inc.",75251,Not Available,Not Available,1,100,Not Available,90014,2020,Office,152.6,425.4,1466.2,152.6,425.4,2000,028,"50,000 to 99,999 sqft"
123 S FIGUEROA ST,484913843273,1887.4,COMPLIED,-3.3,-3.3,55,No,Not Available,Not Available,"RealPage Utility Management, Inc.",585026,Not Available,Not Available,2,95,Not Available,90012,2020,Multifamily Housing,53.6,106.9,10175,54.6,107.9,1985,026,"100,000+ sqft"
1221 W 3RD ST,483336843324,701.4,COMPLIED,-43,-43,100,Yes,Not Available,Not Available,Yardi Energy,294678,Not Available,Not Available,1,100,Not Available,90017,2020,Multifamily Housing,40.9,70.3,13087.2,42.2,71.6,2006,019,"100,000+ sqft"
15651 DICKENS ST,417989878891,109.4,COMPLIED,-19.4,-19.4,79,Yes,Not Available,Not Available,"Vert Energy Group, Inc.",52871,Not Available,Not Available,1,100,Not Available,91436,2020,Multifamily Housing,34.9,65.3,1830.5,37.7,68.3,1963,054,"50,000 to 99,999 sqft"
3120 W TEMPLE ST,476576849781,,NOT COMPLIED,,,,,,,,,,,,,,90026,2020,,,,,,,,028,"20,000 to 49,999 sqft"
8700 PERSHING DR,427957806470,203.1,COMPLIED,-22.0,-22.0,89.0,No,Not Available,Not Available,equity residential,93243.0,Not Available,Not Available,1.0,95.0,Not Available,90293,2017,Multifamily Housing,36.3,63.2,3479.3,37.2,64.1,2004,159,"100,000+ sqft"
9009 BURNET AVE,999000000324,90.8,NOT COMPLIED,-49,-49,99,Yes,Not Available,Not Available,Unknown,71306,Not Available,Not Available,1,100,Not Available,91343,2020,Multifamily Housing,20,48.9,3102.9,20.2,49.2,2009,056,"50,000 to 99,999 sqft"
5031 ALONZO AVE,404049881706,189.4,COMPLIED,72.5,72.5,7,No,Not Available,Not Available,"Vert Energy Group, Inc.",38000,Not Available,Not Available,1,100,Not Available,91316,2020,K-12 School,81.5,172.4,1570.9,86.3,177.3,1961,002,"20,000 to 49,999 sqft"
11611 BLUCHER AVE,419546925176,178.7,NOT COMPLIED,-24.1,-24.1,84,Yes,Not Available,Not Available,Yardi Energy,73300,Not Available,Not Available,1,95,Not Available,91344,2020,Multifamily Housing,41.2,76.5,4595.3,43.9,79.4,1986,218,"50,000 to 99,999 sqft"
8700 TOPANGA CANYON BLVD,379386906084,76.9,COMPLIED,-11.9,-11.9,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",29834,Not Available,Not Available,1,100,Not Available,91304,2020,Multifamily Housing,39.7,104,2096,39.8,104.2,1971,043,"20,000 to 49,999 sqft"
1515 190TH ST,468767771272,486,COMPLIED,-53.8,-53.8,93,No,Not Available,Not Available,The Ruth Group,208000,Not Available,Not Available,1,80,Not Available,90248,2022,Office,35.7,87.3,2840.5,35,85.3,1984,023,"100,000+ sqft"
3300 W ADAMS BLVD,464720834158,,NOT COMPLIED,,,,,,,,,,,,,,90018,2019,,,,,,,,028,"50,000 to 99,999 sqft"
13640 FOOTHILL BLVD,431510934621,,NOT COMPLIED,,,,,,,,,,,,,,91342,2019,,,,,,,,096,"50,000 to 99,999 sqft"
11800 W OLYMPIC BLVD,425314834617,25.3,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",28608,Not Available,Not Available,1,100,Not Available,90064,2023,Manufacturing/Industrial Plant,12.5,34.7,33.7,12.5,34.7,1955,006,"20,000 to 49,999 sqft"
6925 CANBY AVE,399886894210,,NOT COMPLIED,,,,,,,,,,,,,,91335,2021,,,,,,,,021,"50,000 to 99,999 sqft"
886 HILGARD AVE,428181846112,,NOT COMPLIED,,,,,,,,,,,,,,90024,2021,,,,,,,,029,"50,000 to 99,999 sqft"
3101 SAWTELLE BLVD,431188831670,210.6,COMPLIED,-22.1,-22.1,89.0,No,Not Available,Not Available,equity residential,88040.0,Not Available,Not Available,1.0,95.0,Not Available,90066,2017,Multifamily Housing,39.7,70.4,3812.1,39.7,70.4,2004,014,"50,000 to 99,999 sqft"
11444 W OLYMPIC BLVD,427301835854,1137,NOT COMPLIED,-38.8,-38.8,81,Yes,07/24/2018,"2018, 2017, 2016, 2015, 2014, 2013, 2012",Leading Edge Consulting Services,237534,4142,17.44,1,100,Not Available,90064,2020,Office,84.9,125.9,4142,85,126,1984,022,"100,000+ sqft"
1888 CENTURY PARK EAST,436305844913,2950.9,COMPLIED,-29,-29,73,No,10/10/2020,"2020, 2019, 2018, 2017, 2016, 2015, 2014",CommonWealth Partners Management Services,516405,3259.1,6.31,1,90,Not Available,90067,2019,Office,99.4,157.5,3259.1,99.2,157.4,1969,006,"100,000+ sqft"
10250 CONSTELLATION BLVD,435226843421,2206.6,COMPLIED,-54.1,-54.1,95,Yes,01/26/2022,"2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007",Maximum Energy Professionals,810474,Not Available,Not Available,1,95,Not Available,90067,2021,Office,51.6,90.2,5539.1,51.6,90.2,2003,140,"100,000+ sqft"
3018 ROWENA AVE,479817862048,,NOT COMPLIED,,,,,,,,,,,,,,90039,2024,,,,,,,,030,"20,000 to 49,999 sqft"
3616 CARDIFF AVE,441094832927,52.4,COMPLIED,-7.2,-7.2,61,No,Not Available,Not Available,Unknown,24187,Not Available,Not Available,1,100,Not Available,90034,2020,Multifamily Housing,37.2,64.4,779.5,37.5,64.7,1985,067,"20,000 to 49,999 sqft"
14359 ADDISON ST,426635881459,88.8,COMPLIED,-21.7,-21.7,82,No,Not Available,Not Available,"Vert Energy Group, Inc.",41137,Not Available,Not Available,1,100,Not Available,91423,2023,Multifamily Housing,34.9,66.6,1093.7,35.1,66.8,1963,036,"20,000 to 49,999 sqft"
8500 PERSHING DR,427769806733,122.1,COMPLIED,-24.1,-24.1,91.0,No,Not Available,Not Available,equity residential,54795.0,Not Available,Not Available,1.0,95.0,Not Available,90293,2017,Multifamily Housing,37.4,63.5,1859.7,38.3,64.5,2004,015,"50,000 to 99,999 sqft"
7762 FOOTHILL BLVD,470383916364,77.6,COMPLIED,-0.4,-0.4,Not Available,No,Not Available,Not Available,Pari Enterprises,19151,Not Available,Not Available,1,95,Not Available,91042,2021,Multifamily Housing,73,117.6,2173.1,73.9,118.6,1987,017,"20,000 to 49,999 sqft"
8808 DARBY AVE,400449906943,77.5,COMPLIED,-12.4,-12.4,69,No,Not Available,Not Available,"Vert Energy Group, Inc.",24516,Not Available,Not Available,1,100,Not Available,91325,2020,Multifamily Housing,56.6,96.7,1585.9,58.6,98.9,1984,022,"20,000 to 49,999 sqft"
5312 CORTEEN PL,440188883469,79.5,COMPLIED,-19.3,-19.3,79,No,Not Available,Not Available,Above All Property Management,26764,Not Available,Not Available,1,100,Not Available,91607,2018,Multifamily Housing,53.9,82,2479.8,55.6,83.8,1959,021,"20,000 to 49,999 sqft"
7709 LANKERSHIM BLVD,444353899197,119.1,COMPLIED,-15.3,-15.3,73,No,Not Available,Not Available,"Vert Energy Group, Inc.",37826,Not Available,Not Available,1,100,Not Available,91605,2021,Multifamily Housing,56.7,91.7,2452.1,57.6,92.6,1965,012,"20,000 to 49,999 sqft"
3165 SAWTELLE BLVD,431391831285,167.1,COMPLIED,-24.7,-24.7,93.0,No,Not Available,Not Available,equity residential,88040.0,Not Available,Not Available,1.0,95.0,Not Available,90066,2017,Multifamily Housing,30.4,60.6,1625.3,30.4,60.6,2004,013,"50,000 to 99,999 sqft"
2640 MENLO AVE,473840833860,38.8,COMPLIED,-38.3,-38.3,96,No,Not Available,Not Available,"Vert Energy Group, Inc.",27809,Not Available,Not Available,1,100,Not Available,90007,2020,Multifamily Housing,23,47.6,902.2,23.3,48,1901,023,"20,000 to 49,999 sqft"
6615 FRANKLIN AVE,460622861044,124.6,COMPLIED,-31.7,-31.7,95,Yes,Not Available,Not Available,"Mashcole Property Management, Inc.",65746,Not Available,Not Available,1,100,Not Available,90028,2021,Multifamily Housing,34,56.6,235.6,34,56.6,1962,018,"50,000 to 99,999 sqft"
7357 N JORDAN AVE,379277897348,,NOT COMPLIED,,,,,,,,,,,,,,91303,2018,,,,,,,,023,"20,000 to 49,999 sqft"
920 VENICE BLVD,423886820053,83.5,COMPLIED,12.7,12.7,31,No,Not Available,Not Available,Unknown,30261,Not Available,Not Available,1,100,Not Available,90291,2020,Multifamily Housing,49.1,71.8,938.1,49.7,72.4,1978,002,"20,000 to 49,999 sqft"
9541 COZYCROFT AVE,385600911649,36.3,COMPLIED,-60.2,-60.2,94,No,Not Available,Not Available,EZ Realty,30000,Not Available,Not Available,1,100,Not Available,91311,2021,Manufacturing/Industrial Plant,20,55.9,385.2,20,55.9,1973,028,"20,000 to 49,999 sqft"
3740 EVANS ST,478766861132,81.8,COMPLIED,-76.5,-76.5,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",68029,Not Available,Not Available,1,100,Not Available,90027,2021,Multifamily Housing,22.3,27.8,3436.6,21.8,27.3,1972,040,"50,000 to 99,999 sqft"
3201 SAWTELLE BLVD,431616831000,188.8,COMPLIED,-24.9,-24.9,92.0,No,Not Available,Not Available,equity residential,88040.0,Not Available,Not Available,1.0,95.0,Not Available,90066,2017,Multifamily Housing,35.0,65.5,2408.5,35.0,65.5,2004,036,"50,000 to 99,999 sqft"
7205 HOLLYWOOD BLVD,456593859637,94.9,COMPLIED,-47.6,-47.6,100,No,Not Available,Not Available,Regency Towers Partners,71136,Not Available,Not Available,1,100,Not Available,90046,2021,Multifamily Housing,19.5,54.5,2782.8,19.5,54.5,1986,187,"50,000 to 99,999 sqft"
11444 W OLYMPIC BLVD,427494835562,29.2,NOT COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Leading Edge Consulting Services,204763,Not Available,Not Available,1,100,Not Available,90064,2020,Parking,2.2,6,98,2.2,6,1984,022,"100,000+ sqft"
6016 ROMAINE ST,463955854768,38,COMPLIED,-37.4,-37.4,96,No,Not Available,Not Available,"Vert Energy Group, Inc.",28744,Not Available,Not Available,1,100,Not Available,90038,2021,Multifamily Housing,23.1,46.5,914.1,22.9,46.3,1991,026,"20,000 to 49,999 sqft"
13115 TELFAIR AVE,417101934528,0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Beverage Manufacturer,32114,215.8,6.72,1,100,1125.4,91342,2021,Manufacturing/Industrial Plant,0,0,1341.2,0,0,1994,050,"20,000 to 49,999 sqft"
301 E 4TH ST,487631839377,,NOT COMPLIED,,,,,,,,,,,,,,90013,2021,,,,,,,,019,"20,000 to 49,999 sqft"
401 S KENMORE AVE,471755846928,76.59,COMPLIED,2.2,2.2,46,No,Not Available,Not Available,Yardi Energy,26640,Not Available,Not Available,1,100,Not Available,90020,2024,Multifamily Housing,50.4,78.8,2060.9,49.3,77.6,1927,009,"20,000 to 49,999 sqft"
2633 S NORMANDIE AVE,470623833850,,NOT COMPLIED,,,,,,,,,,,,,,90007,2023,,,,,,,,030,"20,000 to 49,999 sqft"
5204 YARMOUTH AVE,404429883024,67.5,COMPLIED,-16.1,-16.1,74,No,Not Available,Not Available,"Vert Energy Group, Inc.",29936,Not Available,Not Available,1,100,Not Available,91316,2020,Multifamily Housing,37.7,73.4,1942.7,38.8,74.5,1971,106,"20,000 to 49,999 sqft"
825 COLORADO BLVD,505819873678,103.1,COMPLIED,-46.8,-46.8,89,No,Not Available,Not Available,Frank De Pietro and Sons,54287,Not Available,Not Available,1,95,Not Available,90041,2019,Office,31.5,86.5,1964.6,31.6,87,1974,012,"50,000 to 99,999 sqft"
18101 ROSCOE BLVD,402033903297,121,COMPLIED,-1.9,-1.9,52,No,Not Available,Not Available,"Rosam & Associates, Inc.",36262,Not Available,Not Available,1,100,Not Available,91325,2023,Multifamily Housing,58.1,85.6,2.2,58.7,86.1,1977,033,"20,000 to 49,999 sqft"
416 E 11TH ST,484526835770,5.6,COMPLIED,-93.2,-93.2,100,No,Not Available,Not Available,S LOS ANGELES STREET ASSOCIATES LLC,27889,934.9,33.52,1,80,Not Available,90015,2021,Mixed Use Property,3.3,9.2,934.9,3.3,9.2,1991,038,"20,000 to 49,999 sqft"
9344 NATIONAL BLVD,441759833953,51.2,COMPLIED,7.1,7.1,39,No,Not Available,Not Available,Unknown,24000,Not Available,Not Available,1,95,Not Available,90034,2020,Multifamily Housing,34.4,76.7,601.4,34.5,76.8,1971,011,"20,000 to 49,999 sqft"
9730 RESEDA BLVD,399778912746,143.7,COMPLIED,-1.1,-1.1,51,No,Not Available,Not Available,Eden Housing,31674,Not Available,Not Available,1,100,Not Available,91324,2020,Multifamily Housing,82.2,126.7,2182.8,87.3,132,1971,021,"20,000 to 49,999 sqft"
3833 S VERMONT AVE,473208828392,873.4,COMPLIED,168.1,168.1,Not Available,No,Not Available,Not Available,Exposition Park West Asset Leasing Corporate,134044,Not Available,Not Available,1,100,Not Available,90037,2020,Other - Public Services,104.3,239.3,3186,Not Available,Not Available,2001,055,"100,000+ sqft"
8601 BALBOA BLVD,409483905395,112.1,COMPLIED,-6.3,-6.3,60,No,Not Available,Not Available,"Vert Energy Group, Inc.",40238,Not Available,Not Available,1,100,Not Available,91325,2019,Multifamily Housing,50.2,80.6,2189.5,50.7,81.2,1964,039,"20,000 to 49,999 sqft"
222 S FIGUEROA ST,484869842548,1353,COMPLIED,35.8,35.8,8,No,Not Available,Not Available,"Conservice, LLC",347402,Not Available,Not Available,2,95,Not Available,90012,2020,Multifamily Housing,56.8,159.1,40323,56.8,159.1,1968,013,"100,000+ sqft"
16667 ARMINTA ST,411380901088,9.2,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Bay Efficiency, LLC",31500,Not Available,Not Available,1,100,Not Available,91406,2019,Manufacturing/Industrial Plant,4.9,13,115.2,4.9,13,1977,030,"50,000 to 99,999 sqft"
649 S BOYLE AVE,494788836390,11.4,COMPLIED,-87.1,-87.1,Not Available,No,Not Available,Not Available,Public Storage,72243,617,8.54,1,100,Not Available,90023,2020,Self-Storage Facility,2.5,6.2,617,2.5,6.2,1997,014,"50,000 to 99,999 sqft"
